,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Coventry, England, United Kingdom",1977-01-01,3.1,0.4,1.6,1.2,-4.1,-2.1,0.9,94.8,4.919,100,8.33,"rain,snow",,0,,24.7,351.1,991.5,96.9,5.6,,,,,1977-01-01T08:16:25,1977-01-01T16:03:04,0.37,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03462099999,03354099999,03534099999,03649099999"
1,"Coventry, England, United Kingdom",1977-01-02,1.1,-2.7,-0.4,-3.2,-7.1,-5.2,-3.8,78.3,0.182,100,4.17,"rain,snow",,0,,24.1,319.9,1019.7,45.8,14.1,,,,,1977-01-02T08:16:16,1977-01-02T16:04:10,0.4,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,rain,"03462099999,03354099999,03534099999,03649099999"
2,"Coventry, England, United Kingdom",1977-01-03,4.1,-4.4,-0.9,1,-6.5,-2.8,-3.1,85.2,0,0,0,,,10,,17.4,283.1,1034.8,39.6,7.2,,,,,1977-01-03T08:16:04,1977-01-03T16:05:19,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03418599999,03354099999,03534099999,03649099999"
3,"Coventry, England, United Kingdom",1977-01-04,4,-2,1.5,0,-6.3,-2.7,-0.1,89.4,0,0,0,,,,,24.8,194.7,1034.9,93.3,7.5,,,,,1977-01-04T08:15:48,1977-01-04T16:06:31,0.47,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03354099999,03534099999,03649099999"
4,"Coventry, England, United Kingdom",1977-01-05,8,4,6.5,6.4,-0.1,3.5,5.9,95.9,1.774,100,4.17,rain,,,,24.1,216.5,1029.7,96.7,4.3,,,,,1977-01-05T08:15:29,1977-01-05T16:07:45,0.5,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03462099999,03354099999,03534099999,03649099999"
5,"Coventry, England, United Kingdom",1977-01-06,6.2,0.2,2.3,3.1,-3.1,1,1.1,91.7,0.315,100,4.17,rain,,,,18.3,312.1,1034.7,71.6,5.8,,,,,1977-01-06T08:15:06,1977-01-06T16:09:02,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03462099999,03354099999,03534099999,03649099999"
6,"Coventry, England, United Kingdom",1977-01-07,7,0.3,3.3,3.4,-2.6,0.3,1.8,90.4,0,0,0,,,,,23.8,299.4,1039.5,63.7,9.1,,,,,1977-01-07T08:14:40,1977-01-07T16:10:21,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03354099999,03534099999,03649099999"
7,"Coventry, England, United Kingdom",1977-01-08,6,3.9,5,2.6,0.8,1.7,3.1,87.7,0,0,0,,,,,20.9,284,1035.6,91.3,11.9,,,,,1977-01-08T08:14:10,1977-01-08T16:11:43,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03354099999,03534099999,03649099999"
8,"Coventry, England, United Kingdom",1977-01-09,6.9,1,4.5,3.4,-2.3,1,2.6,87.8,1.252,100,4.17,rain,,,,24.6,252.7,1011.2,82.6,16.8,,,,,1977-01-09T08:13:37,1977-01-09T16:13:07,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,03354099999,03534099999,03649099999"
9,"Coventry, England, United Kingdom",1977-01-10,2.1,-0.7,1.3,-1.2,-4.4,-2.5,-0.2,90,0.365,100,4.17,"rain,snow",,,,17.5,320.9,994.8,94.7,5.9,,,,,1977-01-10T08:13:01,1977-01-10T16:14:33,0.68,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"03462099999,03354099999,03534099999,03649099999"
10,"Coventry, England, United Kingdom",1977-01-11,1.1,-1,0.1,0.1,-2.8,-1.2,-1,92.3,0,0,0,,,,,11.7,339.4,994.6,82.2,2.6,,,,,1977-01-11T08:12:22,1977-01-11T16:16:01,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03354099999,03534099999,03649099999"
11,"Coventry, England, United Kingdom",1977-01-12,-0.9,-2.7,-1.4,-0.9,-5.5,-2.3,-2.7,91.3,0,0,0,,,,,9.9,108.7,999.2,86.5,3.7,,,,,1977-01-12T08:11:39,1977-01-12T16:17:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03354099999,03534099999,03649099999"
12,"Coventry, England, United Kingdom",1977-01-13,2,-2.8,-0.7,-2.7,-8.4,-6,-1.8,92.6,0,0,0,,,10.4,,40.5,107.4,990.6,99.1,4.9,,,,,1977-01-13T08:10:54,1977-01-13T16:19:03,0.78,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03354099999,03534099999,03649099999"
13,"Coventry, England, United Kingdom",1977-01-14,2.9,1,1.8,1.2,-4,-2.8,0.9,93.5,0,0,0,,,6.1,,28.2,310.9,982.1,99.9,4.5,,,,,1977-01-14T08:10:05,1977-01-14T16:20:37,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03354099999,03534099999,03649099999"
